gm1,gm2,gm4,gm5,gm6,gm7,gm9,gm10,gm12,gm13,gm13ii,polarity,clause,ls
0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1
